tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@11.10.10_x,f_helice@11.10.10_y,f_helice@11.10.10_z,f_helice@21.10.10_x,f_helice@21.10.10_y,f_helice@21.10.10_z,f_trainee_x,f_trainee_y,f_trainee_z
0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1856.75,20424.25,0.0,0.0,0.0,-20424.25,0.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
5,0.25,-0.0,62.6198,-0.0,-0.0,-2.46522,-0.0,2.46522,0.0,-2.46522,1.00152,1856.75,20424.25,1411.62,0.0,1992.28,-17020.346,85.46,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,1411.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.283,0.0
10,0.5,-0.0,61.6974,-0.0,-0.0,-4.44556,-0.0,4.44556,0.0,-4.44556,1.00522,1856.75,20424.25,2795.11,0.0,4054.0,-13575.136,168.67,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,2795.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4054.002,0.0
15,0.75,-0.0,60.3446,-0.0,-1e-05,-6.00259,-0.0,6.00259,1e-05,-6.00259,1.01068,1856.75,20424.25,4158.73,0.0,5702.87,-10562.656,249.68,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,4158.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,5702.867,0.0
20,1.0,-0.0,58.659,-0.0,-3e-05,-7.18902,-0.0,7.18902,3e-05,-7.18902,1.01751,1856.75,20424.25,5508.25,0.0,6993.03,-7922.967,328.56,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,5508.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,6993.031,0.0
25,1.25,-0.0,56.7265,-0.0,-9e-05,-8.05064,-0.0,8.05064,9e-05,-8.05064,1.02541,1856.75,20424.25,6847.47,0.0,7968.12,-5608.654,405.37,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,6847.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,7968.122,0.0
30,1.5,-0.0001,54.6219,-0.0,-0.00021,-8.62772,-0.0,8.62772,0.00021,-8.62772,1.03407,1856.75,20424.25,8178.56,0.0,8664.2,-3581.488,480.17,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,8178.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,8664.205,0.0
35,1.75,-0.0001,52.4111,-0.0,-0.00041,-8.95598,-0.0,8.95598,0.00041,-8.95598,1.04325,1856.75,20424.25,9502.33,0.0,9111.91,-1810.018,553.01,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,9502.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,9111.907,0.001
40,2.0,-0.0003,50.1514,-0.0,-0.00072,-9.06735,-0.0,9.06735,0.00072,-9.06735,1.05272,1856.75,20424.25,10818.51,0.0,9337.93,-267.807,623.96,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,10818.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,9337.932,0.003
45,2.25,-0.0005,47.8926,-0.0,-0.00115,-8.99057,-1e-05,8.99057,0.00115,-8.99057,1.06227,1856.75,20424.25,12125.96,0.0,9366.13,1067.842,693.07,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,12125.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094,9366.13,0.007
