tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@63.4.2_x,f_helice@63.4.2_y,f_helice@63.4.2_z,f_helice@63.4.22_x,f_helice@63.4.22_y,f_helice@63.4.22_z,f_helice@67.4.12_x,f_helice@67.4.12_y,f_helice@67.4.12_z,f_trainee_x,f_trainee_y,f_trainee_z
0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2070.75,22778.25,0.0,0.0,0.0,-22778.25,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
5,0.25,0.0,62.6042,-0.0,-0.0,-2.5994,-0.0,2.5994,0.0,-2.5994,1.00158,2070.75,22778.25,0.0,0.0,1981.39,-20796.859,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1981.391,0.0
10,0.5,-0.0,61.6011,0.0,-0.0,-4.91856,0.0,4.91856,0.0,-4.91856,1.00561,2070.75,22778.25,0.0,0.0,4229.12,-18549.128,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4229.122,-0.0
15,0.75,-0.0,60.0567,0.0,-0.0,-6.98541,0.0,6.98541,0.0,-6.98541,1.01184,2070.75,22778.25,0.0,0.0,6256.74,-16521.515,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6256.735,-0.0
20,1.0,-0.0,58.0302,0.0,-0.0,-8.82401,0.0,8.82401,0.0,-8.82401,1.02008,2070.75,22778.25,0.0,0.0,8093.95,-14684.297,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8093.953,-0.0
25,1.25,-0.0,55.5755,0.0,-0.0,-10.45533,0.0,10.45533,0.0,-10.45533,1.03014,2070.75,22778.25,0.0,0.0,9764.69,-13013.558,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9764.692,-0.0
30,1.5,-0.0,52.7417,0.0,-0.0,-11.89783,0.0,11.89783,0.0,-11.89783,1.04188,2070.75,22778.25,0.0,0.0,11288.35,-11489.897,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11288.353,0.0
35,1.75,-0.0,49.5735,0.0,0.0,-13.16789,0.0,13.16789,0.0,-13.16789,1.05516,2070.75,22778.25,0.0,0.0,12680.8,-10097.451,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12680.799,-0.0
40,2.0,0.0,46.1116,0.0,0.0,-14.28024,0.0,14.28024,0.0,-14.28024,1.06986,2070.75,22778.25,0.0,0.0,13955.11,-8823.141,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,13955.109,-0.0
45,2.25,0.0,42.3936,0.0,0.0,-15.24821,0.0,15.24821,0.0,-15.24821,1.08588,2070.75,22778.25,0.0,0.0,15122.17,-7656.081,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,15122.169,-0.0
50,2.5,0.0,38.4537,0.0,0.0,-16.08394,0.0,16.08394,0.0,-16.08394,1.10312,2070.75,22778.25,0.0,0.0,16191.12,-6587.126,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,16191.124,-0.0
55,2.75,0.0,34.3232,-0.0,-0.0,-16.79859,-0.0,16.79859,0.0,-16.79859,1.12149,2070.75,22778.25,0.0,0.0,17169.75,-5608.501,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,17169.749,0.0
60,3.0,0.0,30.0308,-0.0,-0.0,-17.40249,0.0,17.40249,0.0,-17.40249,1.1409,2070.75,22778.25,0.0,0.0,18064.74,-4713.515,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18064.735,-0.0
65,3.25,0.0,25.6029,-0.0,0.0,-17.9052,0.0,17.9052,0.0,-17.9052,1.16128,2070.75,22778.25,0.0,0.0,18881.92,-3896.328,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,18881.922,0.0
70,3.5,0.0,21.0632,-0.0,0.0,-18.31567,0.0,18.31567,0.0,-18.31567,1.18256,2070.75,22778.25,0.0,0.0,19626.48,-3151.768,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,19626.482,0.0
75,3.75,0.0,16.4337,-0.0,0.0,-18.64224,0.0,18.64224,0.0,-18.64224,1.20466,2070.75,22778.25,0.0,0.0,20303.07,-2475.18,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,20303.07,-0.0
80,4.0,0.0,11.912,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.22664,2070.75,22778.25,0.0,0.0,20915.94,-1862.311,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,20915.939,-0.0
85,4.25,0.0,11.8963,-0.0,-0.0,-0.54268,-0.0,0.54268,0.0,-0.54268,1.22672,2070.75,22778.25,0.0,0.0,0.0,-22778.25,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
90,4.5,0.0,11.3782,-0.0,0.0,-3.04761,-0.0,3.04761,0.0,-3.04761,1.22927,2070.75,22778.25,0.0,0.0,2866.44,-19911.808,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2866.442,0.0
95,4.75,0.0,10.5008,-0.0,0.0,-3.50936,-0.0,3.50936,0.0,-3.50936,1.23359,2070.75,22778.25,0.0,0.0,3920.38,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3920.378,0.0
100,5.0,0.0,9.941,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23635,2070.75,22778.25,0.0,0.0,4925.75,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,4925.752,0.0
105,5.25,0.0,10.3257,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,1.23445,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
110,5.5,0.0,10.1658,-0.0,0.0,-1.58492,-0.0,1.58492,0.0,-1.58492,1.23524,2070.75,22778.25,0.0,0.0,1197.96,-21580.293,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1197.957,0.0
