tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@62.4.2_x,f_helice@62.4.2_y,f_helice@62.4.2_z,f_helice@62.4.22_x,f_helice@62.4.22_y,f_helice@62.4.22_z,f_helice@66.4.12_x,f_helice@66.4.12_y,f_helice@66.4.12_z,f_trainee_x,f_trainee_y,f_trainee_z
0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2116.25,23278.75,7150.0,0.0,0.0,-16128.75,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,4840.0,0.0,0.0,4840.0,0.0,0.0,4840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
5,0.25,-0.0,62.7256,0.0,-0.0,-1.80251,0.0,1.80251,0.0,-1.80251,1.0011,2116.25,23278.75,7155.27,0.0,1379.37,-14744.103,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,4843.569,0.0,0.0,4843.569,0.0,0.0,4843.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1379.374,-0.0
10,0.5,-0.0,62.0298,-0.0,-0.0,-3.41262,-0.0,3.41262,0.0,-3.41262,1.00389,2116.25,23278.75,7172.9,0.0,2943.38,-13162.463,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,4855.505,0.0,0.0,4855.505,0.0,0.0,4855.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2943.383,0.0
15,0.75,-0.0,60.9579,-0.0,0.0,-4.84835,-0.0,4.84835,0.0,-4.84835,1.0082,2116.25,23278.75,7201.65,0.0,4350.02,-11727.073,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,4874.965,0.0,0.0,4874.965,0.0,0.0,4874.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4350.024,0.0
20,1.0,-0.0,59.5513,-0.0,-0.0,-6.12552,0.0,6.12552,0.0,-6.12552,1.01389,2116.25,23278.75,7240.43,0.0,5617.69,-10420.628,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,4901.216,0.0,0.0,4901.216,0.0,0.0,4901.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5617.689,0.0
25,1.25,-0.0,57.8472,-0.0,-0.0,-7.25818,-0.0,7.25818,0.0,-7.25818,1.02082,2116.25,23278.75,7288.29,0.0,6761.63,-9228.823,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,4933.613,0.0,0.0,4933.613,0.0,0.0,4933.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6761.635,0.0
30,1.5,-0.0,55.88,-0.0,-0.0,-8.25887,-0.0,8.25887,0.0,-8.25887,1.02888,2116.25,23278.75,7344.38,0.0,7794.63,-8139.741,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,4971.581,0.0,0.0,4971.581,0.0,0.0,4971.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7794.628,0.0
35,1.75,-0.0,53.681,-0.0,-0.0,-9.13887,0.0,9.13887,0.0,-9.13887,1.03797,2116.25,23278.75,7407.94,0.0,8727.45,-7143.364,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5014.605,0.0,0.0,5014.605,0.0,0.0,5014.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8727.447,0.0
40,2.0,-0.0,51.2788,0.0,-0.0,-9.90841,0.0,9.90841,0.0,-9.90841,1.04799,2116.25,23278.75,7478.28,0.0,9569.27,-6231.198,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5062.222,0.0,0.0,5062.222,0.0,0.0,5062.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9569.269,-0.0
45,2.25,-0.0,48.6995,0.0,-0.0,-10.57682,0.0,10.57682,0.0,-10.57682,1.05885,2116.25,23278.75,7554.79,0.0,10327.99,-5395.974,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5114.011,0.0,0.0,5114.011,0.0,0.0,5114.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10327.987,-0.0
